label,count
AgInt nos EAREsp,311
AgInt nos EREsp,194
AgInt na SLS,90
AgRg nos EAREsp,85
AgInt no MS,73
AgRg na Pet,70
ProAfR no REsp,67
AgInt no RE nos EDcl no AgInt no REsp,49
AgInt no RE nos EDcl no AgInt no AREsp,38
AgInt na SS,34
HDE,34
EDcl no AgInt nos EAREsp,34
AgInt na HDE,33
REsp,32
EREsp,31
AgRg na APn,29
EAREsp,29
AgInt nos EDcl nos EAREsp,29
AgInt nos EDcl nos EREsp,29
AgInt no RE nos EDcl no REsp,27
AgRg no RE nos EDcl no AgRg no AREsp,25
Inq,24
APn,23
AgRg no RE no AgRg no AREsp,23
AgRg no Inq,23
CC,21
EDcl no REsp,20
EDcl no AgInt nos EREsp,19
AgInt no RE no AgInt no AREsp,18
AgInt no RE nos EDcl no AgInt no RMS,16
AgInt na CR,15
AgRg nos EREsp,15
AgInt nos EDcl na HDE,14
AgInt na Pet,14
EDcl no AgInt no RE nos EDcl no AgInt no AREsp,14
QO na APn,13
EDcl no AgRg nos EAREsp,13
AgRg na CauInomCrim,13
AgInt nos EDcl no MS,13
AgInt no RE nos EDcl no AgInt nos EREsp,12
AgInt na Rcl,12
AgRg no RE no AgRg no HC,12
AgRg na ReCoAp,11
Rcl,11
QO no Inq,10
EDcl nos EDcl no AgInt nos EAREsp,10
EDcl no AgRg na Pet,10
QO na CauInomCrim,10
AgRg nos EDcl nos EAREsp,9
AgInt no RE no AgInt no REsp,9
AgInt no RE nos EDcl no AgInt nos EDcl no AREsp,9
AgInt no RE nos EDcl no AgInt nos EDcl no REsp,8
AgRg no MS,8
AgRg no RE nos EDcl no AgRg nos EAREsp,7
EDcl no AgInt nos EDcl nos EAREsp,7
AgRg nos EmbAc,7
QC,7
EDcl na APn,6
AgInt no RE no AgInt no RMS,6
AgInt no RE nos EDcl no AgInt nos EAREsp,6
EDcl nos EDcl no AgInt no RE nos EDcl no AgInt no AREsp,6
AgRg no RE no AgRg no REsp,6
AgInt no RE nos EDcl nos EDcl no AgInt no AREsp,6
EDcl no AgInt na SLS,5
EDcl no AgRg nos EREsp,5
AgRg nos EDcl na APn,5
AgRg no AgRg na APn,5
EDcl nos EDcl no AgRg no RE nos EDcl no AgRg no AREsp,5
AgRg no RE nos EDcl no AgRg no REsp,5
EDcl nos EDcl no AgInt nos EREsp,5
EDcl no AgInt no RE no AgInt no AREsp,5
AgRg no RE nos EDcl no AgRg no HC,5
AgInt no AgInt nos EAREsp,5
AgRg na RvCr,4
AgInt nos EDcl na SLS,4
AgInt no RE nos EDcl nos EDcl no REsp,4
AgRg na SLS,4
AgInt no AgInt na SLS,4
EDcl no AgRg no RE nos EDcl no AgRg no AREsp,4
EDcl na HDE,4
EDcl nos EREsp,4
AgRg na PET na APn,4
EDcl no AgInt nos EDcl nos EREsp,4
AgRg no RE nos EDcl no REsp,4
QO na ProAfR no REsp REsp,4
AgInt no RE nos EDcl no AgInt nos EDcl no CC,3
AgInt no RE nos EDcl no AgInt nos EDcl nos EAREsp,3
AgRg no RE nos EDcl no HC,3
AgInt no AgInt nos EREsp,3
AgRg no RE no AgRg nos EDcl no AREsp,3
AgRg no RE nos EDcl nos EDcl no AgRg no AREsp,3
EDcl no AgInt nos EDv nos EREsp,3
AgRg nos EDcl na Pet,3
AgInt no RE nos EDcl no AgInt no AgInt no REsp,3
QO no REsp,3
AgRg no RE nos EDcl no RHC,3
AgRg na SS,3
AgInt no RE nos EDcl no AgInt na AR,3
EDcl no AgRg nos EDcl nos EAREsp,3
QO na Pet,3
AgInt na AR,3
EDcl na ProAfR no REsp,3
AgRg no RE nos EDcl no AREsp,3
AgRg no AgRg nos EAREsp,3
AgRg nos ET,3
AgRg no RE nos EDcl no AgRg no AgRg no AREsp,3
AgInt no RE no AgInt nos EREsp,3
AgInt no RE nos EDcl no RMS,3
EDcl no AgInt no RE nos EDcl no AgInt nos EAREsp,3
AgInt no RE nos EDcl no AgInt no CC,3
EDcl no AgInt na HDE,3
AgRg na Rcl,3
AgRg nos EDcl nos EREsp,3
AgRg no RE no AgRg nos EAREsp,3
AgInt no RE no AgInt nos EAREsp,3
EDcl no Inq,3
EDcl nos EDcl no AgInt no RE nos EDcl no AgInt nos EDcl no AREsp,3
AgInt nos EDcl nos EDcl no MS,3
EDcl nos EDcl no AgRg no RE nos EDcl no AgRg nos EAREsp,3
EDcl no AgInt na SS,2
AgRg no HC,2
AgInt no RE nos EDcl na AR,2
AgRg no RE no AgRg nos EREsp,2
SEC,2
AgInt nos EDcl nos EDcl no AgInt nos EREsp,2
AgInt na SEC,2
AgInt nos EDcl no RE nos EDcl no AgInt no AREsp,2
EDcl nos EAREsp,2
EDcl no AgInt nos EDcl no RE nos EDcl no AgInt no REsp,2
AgInt nos EDcl no RE nos EDcl no AgInt no REsp,2
AgInt nos EDcl nos EDv nos EAREsp,2
EDcl nos EDcl nos EDcl no AgInt nos EAREsp,2
Pet,2
EDcl no AgRg nos EDcl nos EREsp,2
EDcl no AgInt no RE nos EDcl no AgInt no REsp,2
ARE no AgRg no RE no AgRg nos EAREsp,2
AgInt no RE no AREsp,2
AgInt na ExeMS,2
AgInt no RE no AgInt nos EDcl na AR,2
AgInt no RE no AgInt nos EDcl no AREsp,2
AgInt nos EDcl na AR,2
AgInt nos EDcl na SS,2
AgRg no QuebSig,2
AgInt nos EDcl no AgInt nos EREsp,2
AgInt no ARE no RE no AgInt no AREsp,2
AgInt no PExt na SLS,2
AgRg nos EDcl no RE nos EDcl no AgRg no REsp,2
MS,2
AgInt no RE nos EDcl no AgInt nos EDv nos EREsp,2
AgInt no RE nos EDcl no AgRg no REsp,2
RCD no AgInt nos EAREsp,2
EDcl nos EDcl no AgRg na Pet,2
AgInt no RE no REsp,2
AgInt no RE nos EDcl nos EDcl no AgInt nos EAREsp,2
AgInt no AgInt nos EDcl nos EAREsp,2
EDcl no AgInt no RE nos EDcl nos EDcl no AgInt no AREsp,2
EDcl no AgRg no RE nos EDcl no AgRg no REsp,2
EDcl no AgInt no RE nos EDcl na AR,2
EDcl no AgRg na PET no Inq,2
AgInt no AgInt no RE nos EDcl no AgInt no REsp,2
AgInt no RE no AgRg no RMS,2
EDcl no AgInt no MS,2
AgInt no RE nos EDcl nos EDcl no AgInt nos EREsp,2
AgInt nos EDcl nos EDcl nos EAREsp,2
AgInt no RE nos EDcl no AREsp,2
AgInt nos EDcl no AgInt nos EAREsp,2
AgRg no ARE no RE no AgRg no AREsp,2
EDcl nos EDcl no AgInt nos EDcl no RE nos EDcl no AgInt no AREsp,2
AgRg no RE nos EDcl no AgRg nos EDcl nos EAREsp,2
EDcl no AgInt no RE nos EDcl no AREsp,2
AgInt no RE nos EDcl no AgInt no AgInt no AREsp,2
AgInt no ARE no RE nos EDcl no AgInt no REsp,2
EDcl nos EDcl nos EDcl no AgInt no RE nos EDcl no AgInt no AREsp,2
AgInt no RE nos EDcl nos EDcl no AgInt nos EDcl no AREsp,2
AgRg na CR,2
EDcl nos EDcl no AgInt no RE nos EDcl no AgInt nos EAREsp,2
AgInt no AgInt no RE nos EDcl no AgInt no AREsp,2
EDcl nos EDcl no AgInt nos EDcl nos EAREsp,2
AgInt no MI,2
EDcl no AgInt na Pet,2
AgRg no RE no AgRg no AgRg nos EDcl no REsp,1
EDcl na IF,1
AgRg na MPUMP,1
EDcl nos EDcl no AgInt no RE nos EDcl no CC,1
EDcl nos EDcl no AgInt no RE nos EDcl nos EDcl nos EDcl no AgInt no AREsp,1
EDcl no AgRg no RE nos EDcl no AgRg nos EAREsp,1
EDcl no AgInt no RE nos EDcl no AgInt no AgInt no REsp,1
EDcl nos EDcl no AgRg no RE nos EDcl nos EDcl no AgRg nos EAREsp,1
AgRg no RE no AREsp,1
AgRg na ExSusp,1
EDcl no AgInt na CR,1
AgInt no RE nos EDcl no AgRg no Ag,1
AgInt nos EDcl no RE nos EDcl no AgInt no CC,1
AgInt no RE no AgInt nos EDcl no RMS,1
AgInt nos EDcl na CR,1
ReCoAp,1
AgInt no AgInt nos EDcl no AgInt no REsp,1
AgInt nos EDcl no RE no AgRg no REsp,1
AgInt no RE nos EDcl no AgRg no AREsp,1
