label,count
AgInt no AREsp,7105
AgInt no REsp,2677
AgInt nos EDcl no AREsp,853
REsp,471
AgInt nos EDcl no REsp,437
EDcl no AgInt no AREsp,362
AgInt no AgInt no AREsp,266
EDcl no AgInt no REsp,117
AgInt no AgInt no REsp,65
EDcl no AgInt nos EDcl no AREsp,60
EDcl no REsp,48
EDcl nos EDcl no AgInt no AREsp,43
AgInt no RMS,42
HC,42
AgInt nos EDcl no AgInt no AREsp,37
AREsp,36
AgInt no HC,32
AgInt no TP,24
AgInt nos EDcl nos EDcl no REsp,21
RHC,21
AgInt nos EDcl nos EDcl no AREsp,21
EDcl no AgInt nos EDcl no REsp,20
AgInt na Pet,19
AgInt no AgInt nos EDcl no AREsp,16
AgInt na TutCautAnt,16
EDcl no AREsp,14
EDcl no AgInt no AgInt no AREsp,13
AgInt na PET no AREsp,12
EDcl nos EDcl no AgInt nos EDcl no AREsp,12
AgInt nos EDcl no AgInt nos EDcl no AREsp,11
AgInt no AgInt nos EDcl no REsp,11
AgRg no AREsp,10
AgRg no REsp,10
AgInt nos EDcl no AgInt nos EDcl no REsp,10
AgInt nos EDcl no AgInt no REsp,10
AgInt no RHC,9
EDcl nos EDcl nos EDcl no AgInt no AREsp,9
EDcl nos EDcl no AgInt no REsp,8
AgInt na TutPrv no REsp,8
RMS,7
AgInt na PET no REsp,7
AgInt na TutAntAnt,7
EDcl nos EDcl no REsp,6
AgInt nos EDcl no RMS,6
AgInt no AgInt nos EDcl no AgInt no AREsp,5
AgInt na TutPrv no AREsp,5
PET no AREsp,5
AgInt no AgInt no AgInt no AREsp,5
EDcl nos EDcl no AgInt nos EDcl no REsp,4
AgInt no Ag,3
RO,3
AgInt nos EDcl na Pet,3
PET no REsp,3
EDcl no AgInt nos EDcl nos EDcl no AREsp,3
EDcl nos EDcl nos EDcl no AgInt no REsp,3
EDcl no AgInt nos EDcl nos EDcl no REsp,3
EDcl no AgInt nos EDcl no AgInt no AREsp,3
AgInt nos EDcl na TutPrv no AREsp,3
EDcl no AgInt na PET no AREsp,3
AgRg no Ag,2
AgInt no AgInt no AgInt no REsp,2
AgInt nos EDcl no TP,2
AgInt nos EDcl no Ag,2
EDcl no AgRg no Ag,2
RCD no AgInt no AREsp,2
EDcl nos EDcl no AgInt nos EDcl nos EDcl no AREsp,2
EDcl no AgInt no AgInt nos EDcl no AREsp,2
AgInt nos EDcl no RHC,2
PET no AgInt no AREsp,2
AgInt nos EDcl na TutCautAnt,2
EDcl no AgRg no AREsp,2
AgRg no RMS,1
AgInt nos EDcl nos EDcl nos EDcl no AREsp,1
AgInt no AgRg no REsp,1
AgInt no AgRg no AREsp,1
RCD nos EDcl no AREsp,1
RCD no REsp,1
AgInt no AgInt nos EDcl nos EDcl no AREsp,1
AgInt no AgInt no AgInt nos EDcl no AREsp,1
AgInt no RO,1
AgRg nos EDcl no AgRg no REsp,1
AgRg nos EDcl no REsp,1
AgInt nos EDcl na TutPrv no REsp,1
Pet,1
EDcl no AgInt no PDist no AREsp,1
AgInt nos EDcl nos EDcl no AgInt no AgInt no AREsp,1
AgInt nos EDcl nos EDcl no AgInt no AREsp,1
AgInt na DESIS no AREsp,1
AgInt nos EDcl na PET no AREsp,1
EDcl no AgInt no Ag,1
AgRg nos EDcl no AREsp,1
RCD na PET no AREsp,1
RE no AgInt no AREsp,1
EDcl nos EDcl nos EDcl nos EDcl no AgInt no AREsp,1
AgInt nos EDcl no AgInt no TP,1
AgInt no Ag no REsp,1
PET no RHC,1
AgInt nos EDcl na DESIS no AREsp,1
TutPrv no RMS,1
PET no AgInt no AgInt no AREsp,1
