label,count
AgInt nos EAREsp,218
AgInt no CC,207
AgInt nos EREsp,162
AgInt na Rcl,106
ProAfR no REsp,71
CC,66
AgInt nos EDcl no CC,57
REsp,47
AR,42
AgInt na AR,40
EREsp,31
AgInt nos EDcl na Rcl,26
EDcl no REsp,20
EDcl no AgInt nos EREsp,19
EDcl no AgInt nos EAREsp,18
AgInt nos EDcl nos EREsp,17
Rcl,16
EAREsp,16
AgInt nos EDcl nos EAREsp,13
EDcl no AgInt no CC,12
EDcl no CC,11
EDcl no AgInt na Rcl,10
AgInt no MS,9
EDcl na AR,8
EDcl nos EDcl no AgInt nos EREsp,8
AgInt na ExSusp,7
AgInt no AgInt no CC,6
AgInt nos EDcl na AR,6
AgInt nos EDv nos EAREsp,5
EDcl nos EREsp,5
QO no REsp,4
AgInt nos EDcl no AgInt no CC,4
EDcl no AgInt nos EDcl na Rcl,4
AgInt no PUIL,4
EDcl no AgInt na AR,3
AgInt nos EDcl na ExSusp,3
AgInt nos EDv nos EREsp,3
AgInt no AgInt nos EDcl no CC,3
RCD no CC,3
RCD na PET no REsp,3
AgInt no AgInt nos EREsp,2
AgInt nos EDcl no AgInt nos EAREsp,2
EDcl nos EAREsp,2
AgInt no REsp,2
AgInt na Pet,2
AgInt na PET na Rcl,2
AgRg no CC,2
AgInt no AgInt nos EAREsp,2
EDcl nos EDcl no AgInt nos EAREsp,2
EDcl na Rcl,2
EDcl no AgRg nos EAREsp,1
AgInt no RCD no AgInt no CC,1
PET no MS,1
AgInt nos EDcl nos EDv nos EAREsp,1
AgInt no TP,1
AgInt no AgInt na AR,1
EDcl no AgInt nos EDcl na PET na Rcl,1
AgInt nos EDcl nos EDcl no AgInt nos EDcl na Rcl,1
EDcl no AgInt nos EDv nos EREsp,1
AgInt nos EDcl nos EDcl no CC,1
AgInt nos EDcl no AgInt nos EDcl nos EDcl nos EDcl na Rcl,1
AgInt nos EDcl no REsp,1
AgInt no AgInt nos EDcl na Rcl,1
EDcl no AgInt nos EDcl nos EDv nos EAREsp,1
EDcl no AgInt nos EDcl na AR,1
AgInt na PET no REsp,1
AgInt no AgInt no MS,1
HC,1
RCD na Rcl,1
QO na Pet,1
AgInt nos EDcl na DESIS na Rcl,1
EDcl no AgInt nos EDcl no CC,1
EDcl nos EDcl no REsp,1
AgRg na Rcl,1
Pet,1
AgInt no AgInt na Rcl,1
EDcl no AgInt no AgInt no CC,1
AgInt nos EDcl nos EDcl no AgInt nos EDcl nos EAREsp,1
EDcl nos EDcl nos EDcl no AgInt nos EDcl no AgInt nos EDcl nos EDcl nos EDcl na Rcl,1
AgInt nos EDcl nos EDcl no PUIL,1
EDcl no AgInt no PUIL,1
EDcl nos EDcl no AgInt nos EDcl na Rcl,1
AgInt nos EDcl nos EDcl no MS,1
AgInt nos EDcl nos EDcl na AR,1
EDcl nos EDcl nos EDcl no AgRg na Rcl,1
AgInt no AgInt nos EDcl no AgInt na ExSusp,1
AgInt nos EDcl no Acordo na AR,1
AgInt no Acordo na AR,1
QO no AgInt no CC CC,1
AgInt na ExeAR,1
EDcl no AgInt no AgInt nos EDcl no CC,1
RO,1
QO na AR,1
IAC no REsp,1
AgInt nos EDcl no PUIL,1
AgInt nos EDcl no AgInt nos EREsp,1
EDcl nos EDcl na AR,1
AgInt na PET na AR,1
RCD no AgInt na Rcl,1
EDcl no AgInt nos EDcl nos EAREsp,1
AgInt nos EDcl no AgInt na Rcl,1
PET no AgInt nos EAREsp,1
EDcl nos EDcl nos EDcl no AgInt nos EDcl nos EAREsp,1
AgInt nos EDcl nos EDcl nos EAREsp,1
EDcl nos EDcl no AgInt no CC,1
Acordo na AR,1
